,gene_id,gene_name
53,ENSG00000078808,SDF4
57,ENSG00000160087,UBE2J2
67,ENSG00000175756,AURKAIP1
68,ENSG00000221978,CCNL2
70,ENSG00000242485,MRPL20
81,ENSG00000160075,SSU72
85,ENSG00000197530,MIB2
94,ENSG00000078369,GNB1
113,ENSG00000157916,RER1
121,ENSG00000157873,TNFRSF14
151,ENSG00000198912,C1orf174
163,ENSG00000069424,KCNAB2
201,ENSG00000116288,PARK7
227,ENSG00000178585,CTNNBIP1
248,ENSG00000116649,SRM
263,ENSG00000177674,AGTRAP
276,ENSG00000028137,TNFRSF1B
326,ENSG00000142634,EFHD2
361,ENSG00000055070,SZRD1
363,ENSG00000157191,NECAP2
371,ENSG00000215908,CROCCP2
405,ENSG00000127481,UBR4
410,ENSG00000053371,AKR7A2
415,ENSG00000173436,MINOS1
439,ENSG00000158825,CDA
446,ENSG00000127483,HP1BP3
457,ENSG00000090686,USP48
464,ENSG00000070831,CDC42
517,ENSG00000133226,SRRM1
524,ENSG00000117614,SYF2
525,ENSG00000117616,C1orf63
528,ENSG00000183726,TMEM50A
531,ENSG00000157978,LDLRAP1
565,ENSG00000117676,RPS6KA1
574,ENSG00000090273,NUDC
583,ENSG00000142765,SYTL1
588,ENSG00000158195,WASF2
592,ENSG00000000938,FGR
594,ENSG00000126709,IFI6
597,ENSG00000117758,STX12
601,ENSG00000117748,RPA2
607,ENSG00000126698,DNAJC8
610,ENSG00000130770,ATPIF1
619,ENSG00000120656,TAF12
651,ENSG00000060688,SNRNP40
652,ENSG00000121766,ZCCHC17
671,ENSG00000184007,PTP4A2
674,ENSG00000121774,KHDRBS1
686,ENSG00000182866,LCK
688,ENSG00000175130,MARCKSL1
696,ENSG00000176261,ZBTB8OS
709,ENSG00000004455,AK2
723,ENSG00000163866,SMIM12
735,ENSG00000116560,SFPQ
742,ENSG00000126067,PSMB2
754,ENSG00000054116,TRAPPC3
761,ENSG00000181817,LSM10
763,ENSG00000116898,MRPS15
770,ENSG00000163875,MEAF6
793,ENSG00000116954,RRAGC
795,ENSG00000214114,MYCBP
798,ENSG00000174574,AKIRIN1
799,ENSG00000168653,NDUFS5
811,ENSG00000084072,PPIE
819,ENSG00000131236,CAP1
820,ENSG00000131238,PPT1
826,ENSG00000084070,SMAP2
855,ENSG00000127125,PPCS
864,ENSG00000177868,CCDC23
879,ENSG00000066322,ELOVL1
895,ENSG00000117410,ATP6V0B
910,ENSG00000173846,PLK3
924,ENSG00000117450,PRDX1
925,ENSG00000117448,AKR1A1
926,ENSG00000132780,NASP
928,ENSG00000159592,GPBP1L1
966,ENSG00000162368,CMPK1
998,ENSG00000123091,RNF11
1006,ENSG00000078618,NRD1
1010,ENSG00000117862,TXNDC12
1020,ENSG00000134744,ZCCHC11
1023,ENSG00000182183,FAM159A
1028,ENSG00000121310,ECHDC2
1029,ENSG00000116171,SCP2
1036,ENSG00000162384,C1orf123
1038,ENSG00000162385,MAGOH
1131,ENSG00000162604,TM2D1
1136,ENSG00000162607,USP1
1156,ENSG00000079739,PGM1
1162,ENSG00000162434,JAK1
1170,ENSG00000213625,LEPROT
1184,ENSG00000142864,SERBP1
1201,ENSG00000116754,SRSF11
1213,ENSG00000132485,ZRANB2
1241,ENSG00000137955,RABGGTB
1251,ENSG00000142892,PIGK
1259,ENSG00000162613,FUBP1
1264,ENSG00000137959,IFI44L
1287,ENSG00000174021,GNG5
1306,ENSG00000122417,ODF2L
1329,ENSG00000162645,GBP2
1332,ENSG00000154451,GBP5
1364,ENSG00000143033,MTF2
1367,ENSG00000117505,DR1
1421,ENSG00000156875,HIAT1
1478,ENSG00000134186,PRPF38B
1498,ENSG00000143106,PSMA5
1505,ENSG00000065135,GNAI3
1508,ENSG00000116337,AMPD2
1538,ENSG00000134248,LAMTOR5
1546,ENSG00000143119,CD53
1550,ENSG00000156171,DRAM2
1561,ENSG00000116459,ATP5F1
1562,ENSG00000143110,C1orf162
1577,ENSG00000116489,CAPZA1
1580,ENSG00000155366,RHOC
1607,ENSG00000116752,BCAS2
1611,ENSG00000009307,CSDE1
1612,ENSG00000052723,SIKE1
1627,ENSG00000163399,ATP1A1
1632,ENSG00000116815,CD58
1635,ENSG00000116824,CD2
1717,ENSG00000213240,NOTCH2NL
1735,ENSG00000121848,RNF115
1828,ENSG00000117362,APH1A
1831,ENSG00000187145,MRPS21
1842,ENSG00000143420,ENSA
1849,ENSG00000143418,CERS2
1857,ENSG00000197622,CDC42SE1
1862,ENSG00000163156,SCNM1
1867,ENSG00000159352,PSMD4
1870,ENSG00000143393,PI4KB
1876,ENSG00000159377,PSMB4
1887,ENSG00000143436,MRPL9
1955,ENSG00000163220,S100A9
1957,ENSG00000143546,S100A8
1972,ENSG00000160679,CHTOP
1974,ENSG00000143621,ILF2
1979,ENSG00000143554,SLC27A3
1991,ENSG00000143549,TPM3
1993,ENSG00000143612,C1orf43
1994,ENSG00000143569,UBAP2L
1995,ENSG00000143575,HAX1
2007,ENSG00000160710,ADAR
2010,ENSG00000163344,PMVK
2012,ENSG00000163346,PBXIP1
2030,ENSG00000163463,KRTCAP2
2044,ENSG00000160752,FDPS
2056,ENSG00000132680,KIAA0907
2058,ENSG00000116584,ARHGEF2
2063,ENSG00000116586,LAMTOR2
2077,ENSG00000163468,CCT3
2087,ENSG00000163382,APOA1BP
2104,ENSG00000027869,SH2D2A
2128,ENSG00000158481,CD1C
2146,ENSG00000163563,MNDA
2147,ENSG00000163564,PYHIN1
2161,ENSG00000158716,DUSP23
2194,ENSG00000066294,CD84
2199,ENSG00000122224,LY9
2207,ENSG00000215845,TSTD1
2214,ENSG00000143256,PFDN2
2223,ENSG00000158864,NDUFS2
2224,ENSG00000158869,FCER1G
2231,ENSG00000143252,SDHC
2235,ENSG00000143226,FCGR2A
2237,ENSG00000203747,FCGR3A
2242,ENSG00000132185,FCRLA
2257,ENSG00000117143,UAP1
2276,ENSG00000143198,MGST3
2277,ENSG00000143149,ALDH9A1
2279,ENSG00000143183,TMCO1
2300,ENSG00000198821,CD247
2304,ENSG00000198771,RCSD1
2308,ENSG00000143158,MPC2
2333,ENSG00000188404,SELL
2357,ENSG00000117523,PRRC2C
2373,ENSG00000117592,PRDX6
2387,ENSG00000152061,RABGAP1L
2390,ENSG00000116161,CACYBP
2393,ENSG00000235750,KIAA0040
2452,ENSG00000162783,IER5
2464,ENSG00000135821,GLUL
2482,ENSG00000116701,NCF2
2499,ENSG00000116679,IVNS1ABP
2507,ENSG00000047410,TPR
2541,ENSG00000090104,RGS1
2543,ENSG00000116741,RGS2
2620,ENSG00000134375,TIMM17A
2627,ENSG00000143851,PTPN7
2639,ENSG00000183155,RABIF
2641,ENSG00000159346,ADIPOR1
2654,ENSG00000159388,BTG2
2662,ENSG00000182004,SNRPE
2676,ENSG00000198625,MDM4
2697,ENSG00000069275,NUCKS1
2699,ENSG00000117280,RAB7L1
2717,ENSG00000136653,RASSF5
2726,ENSG00000162894,FAIM3
2736,ENSG00000196352,CD55
2759,ENSG00000009790,TRAF3IP3
2770,ENSG00000082512,TRAF5
2786,ENSG00000066027,PPP2R5A
2794,ENSG00000162772,ATF3
2841,ENSG00000136628,EPRS
2884,ENSG00000162909,CAPN2
2891,ENSG00000143753,DEGS1
2905,ENSG00000143742,SRP9
2915,ENSG00000163041,H3F3A
2926,ENSG00000163050,ADCK3
2939,ENSG00000143761,ARF1
2941,ENSG00000162910,MRPL55
2965,ENSG00000168118,RAB4A
2996,ENSG00000116906,GNPAT
2999,ENSG00000135766,EGLN1
3002,ENSG00000116918,TSNAX
3026,ENSG00000168264,IRF2BP2
3039,ENSG00000173726,TOMM20
3047,ENSG00000143669,LYST
3112,ENSG00000035687,ADSS
3115,ENSG00000203667,COX20
3117,ENSG00000153187,HNRNPU
3206,ENSG00000143727,ACP1
3245,ENSG00000032389,TSSC1
3249,ENSG00000182551,ADI1
3302,ENSG00000119185,ITGB1BP1
3304,ENSG00000134330,IAH1
3308,ENSG00000134308,YWHAQ
3326,ENSG00000115758,ODC1
3335,ENSG00000143870,PDIA6
3407,ENSG00000068697,LAPTM4A
3412,ENSG00000143878,RHOB
3446,ENSG00000115128,SF3B14
3454,ENSG00000198399,ITSN2
3477,ENSG00000084754,HADHA
3478,ENSG00000138029,HADHB
3502,ENSG00000138073,PREB
3506,ENSG00000138085,ATRAID
3517,ENSG00000115234,SNX17
3519,ENSG00000115241,PPM1G
3520,ENSG00000115216,NRBP1
3549,ENSG00000163811,WDR43
3558,ENSG00000119801,YPEL5
3559,ENSG00000213626,LBH
3572,ENSG00000162961,DPY30
3610,ENSG00000115816,CEBPZ
3616,ENSG00000163171,CDC42EP3
3656,ENSG00000143924,EML4
3657,ENSG00000115944,COX7A2L
3752,ENSG00000115306,SPTBN1
3758,ENSG00000115310,RTN4
3801,ENSG00000115484,CCT4
3803,ENSG00000173163,COMMD1
3814,ENSG00000014641,MDH1
3815,ENSG00000169764,UGP2
3837,ENSG00000138071,ACTR2
3873,ENSG00000115956,PLEK
3877,ENSG00000163219,ARHGAP25
3891,ENSG00000124380,SNRNP27
3902,ENSG00000143977,SNRPG
3937,ENSG00000135624,CCT7
